gene,pvalue,baseMean,log2FoldChange,lfcSE,stat,padj,log_pvalue,log_padj
Zbtb11,0.00026265230839883207,53.082035037505136,1.119835615232432,0.307942908432544,3.64543214886206,0.01839064077859879,8.244679421724829,3.9959133971122123
Asb2,0.00010175145960574602,148.2448465878082,0.8174963085838758,0.2167549913289922,3.8527480988054963,0.00860410596169436,9.192977388724842,4.755515752253329
Coq10b,0.00012391107526485922,36.936117026739005,1.284062553934588,0.3354870443410566,3.834657645148134,0.010013670162693899,8.995946384584329,4.6038041032347845
Egr1,3.2998077366822246e-38,123.077845363362,3.9860881597739337,0.3239145486886196,12.729850609305995,1.6250453167247729e-34,86.30436932861002,77.80235745918945
Hba-a1,1.8468629665439756e-08,17.691419995310277,-5.004061168996495,1.022104604689145,-5.454734271104824,3.638073795696093e-06,17.807192237938132,12.524056193385759
Tra2a,1.0915828095814763e-06,159.7271441641968,0.8670087539831274,0.1822457932706534,4.836784304327002,0.00016456167784445643,13.727881796146198,8.712225116728087
Tra2b,3.1592816259312195e-05,154.34044114217582,0.7424542145942497,0.18319869634083902,4.130297611836886,0.003386868143066033,10.36258079678167,5.687849636206629
Malt1,1.2460001827166013e-06,238.80041234684595,1.0618235269945802,0.2248716029419978,4.806591734039374,0.00018594350201469765,13.595571990956486,8.590067683002394
Il1r2,2.1062071057223343e-11,31.6493879806893,4.74274833441261,0.7777235424851627,6.5250832157979675,8.188711521037308e-09,24.58354727325903,18.620509274896733
Gm4107,2.82140665961726e-05,20.739061932005463,2.162225742684324,0.5499819895918885,4.112724572986139,0.003110706118595925,10.475689888920172,5.7729055307824
Stt3b,1.1039774792989626e-05,68.07125140941415,1.0802254125357522,0.24823196093116903,4.381997723809679,0.0013479473784432125,11.414005916509113,6.6091723040171715
Ddx54,0.00029658767118209494,42.18803811763052,1.068970623889566,0.29654318306916505,3.6144297953026694,0.020192563382692492,8.123167696278477,3.9024408917302535
Arih1,0.00039968324455900327,205.1126440033592,0.5717630033980834,0.16776118208659538,3.5046408370956144,0.025898773048748745,7.8248382131681895,3.6535596840339473
Nfkbiz,5.8028030158970166e-06,123.26523882654581,1.120851668509374,0.25445265060137656,4.495118026257464,0.0007520229101479169,12.05716947855046,7.192743768856272
Grasp,3.5658246791041905e-08,25.18377004830372,3.002628304294988,0.5592880215470244,5.46585453766105,6.841752442738351e-06,17.149285390301024,11.892466654066025
Skil,5.59683702241849e-05,46.41313617411784,1.22983539193811,0.308077811169139,4.017563546334794,0.005233396846152581,9.790723844223844,5.252694719162128
