,wt_naive_0,wt_naive_1,wt_naive_2,wt_naive_3,ko_naive_0,ko_naive_1,ko_naive_2,ko_naive_3,wt_pathogenic_0,wt_pathogenic_1,wt_pathogenic_2,wt_pathogenic_3,ko_pathogenic_0,ko_pathogenic_1,ko_pathogenic_2,ko_pathogenic_3
Ccdc134,11.0,11.0,10.0,8.0,12.0,9.0,12.0,3.0,27.0,39.0,26.0,28.0,25.0,40.0,25.0,20.0
Srebf2,66.0,83.0,67.0,73.0,45.0,49.0,45.0,69.0,263.0,276.0,246.0,287.0,191.0,199.0,198.0,168.0
Shisa8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tnfrsf13c,6.0,4.0,10.0,5.0,9.0,4.0,4.0,3.0,9.0,12.0,4.0,6.0,5.0,2.0,6.0,4.0
Gm49503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cenpm,4.0,3.0,5.0,6.0,0.0,1.0,1.0,0.0,6.0,10.0,12.0,3.0,7.0,3.0,10.0,8.0
1500009C09Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sept3,1.0,0.0,1.0,3.0,1.0,1.0,5.0,1.0,38.0,61.0,52.0,37.0,20.0,27.0,17.0,16.0
Wbp2nl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Naga,22.0,21.0,23.0,18.0,24.0,28.0,24.0,19.0,143.0,147.0,144.0,149.0,104.0,126.0,81.0,114.0
Pheta2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0
Smdt1,149.0,107.0,118.0,104.0,119.0,123.0,103.0,98.0,445.0,395.0,500.0,389.0,270.0,342.0,264.0,281.0
Ndufa6,117.0,104.0,85.0,86.0,104.0,102.0,84.0,90.0,354.0,360.0,421.0,362.0,269.0,292.0,287.0,256.0
Cyp2d22,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyp2d26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tcf20,82.0,120.0,106.0,110.0,84.0,77.0,98.0,94.0,524.0,512.0,433.0,541.0,211.0,239.0,233.0,286.0
Gm20324,4.0,4.0,6.0,1.0,3.0,0.0,5.0,3.0,13.0,19.0,8.0,15.0,12.0,12.0,8.0,15.0
